|normal|withouturl|no_clean|url_clean
577|Tune in at 12:15 p.m. ET to watch President Obama deliver a statement about the economy: http:// ofa.bo/z0Og|Tune in at 12:15 p.m. ET to watch President Obama deliver a statement about the economy: http://  |5.32888888888889|5.32888888888889
578|"""Supreme Court struggles with just eight justices."" http:// ofa.bo/iA5L #DoYourJob"|"""Supreme Court struggles with just eight justices."" http://   #DoYourJob"|5.593333333333334|5.593333333333334
579|An overwhelming majority of Americans want a fair #SCOTUS nomination process add your name if you're one of them: http:// ofa.bo/c5pv|An overwhelming majority of Americans want a fair #SCOTUS nomination process add your name if you're one of them: http://  |5.546666666666667|5.565714285714286
580|Judge Merrick Garland received bipartisan support in the past. Today should be no different. #DoYourJob pic.twitter.com/4S4E2x8RZk|Judge Merrick Garland received bipartisan support in the past. Today should be no different. #DoYourJob  |5.38|5.38
581|Stay informed and get the facts with the @OFA Truth Team: http:// ofa.bo/c5pj pic.twitter.com/ypohneIQcS|Stay informed and get the facts with the @OFA Truth Team: http://    |5.58|5.58
582|Our economy is making real progress, but we have to keep fighting to make sure that it works for everybody. pic.twitter.com/i10j4c9dTo|Our economy is making real progress, but we have to keep fighting to make sure that it works for everybody.  |5.329411764705881|5.329411764705881
583|"""Another encouraging jobs report,"" as the longest streak of private-sector job growth on record continues. http:// ofa.bo/hABd"|"""Another encouraging jobs report,"" as the longest streak of private-sector job growth on record continues. http://  "|5.738181818181818|5.738181818181818
584|The United States of America has the strongest, most durable economy in the world and it's getting better. pic.twitter.com/mCyYWccvf5|The United States of America has the strongest, most durable economy in the world and it's getting better.  |5.193333333333333|5.316363636363636
585|The economy added 215,000 jobs in March a record-breaking 73 months of private-sector job growth.|The economy added 215,000 jobs in March a record-breaking 73 months of private-sector job growth.|5.434285714285714|5.409999999999999
586|This is it your last chance to win a free trip to Chicago to meet James Taylor: http:// ofa.bo/c5pK pic.twitter.com/y8BYvl0HIb|This is it your last chance to win a free trip to Chicago to meet James Taylor: http://    |5.909090909090909|5.816923076923077
587|DEADLINE: Chip in to support this grassroots movement before midnight tonight. http:// ofa.bo/iA4n pic.twitter.com/DJDHZQMMWn|DEADLINE: Chip in to support this grassroots movement before midnight tonight. http://    |5.6000000000000005|5.6000000000000005
588|You've got a friend that wants to meet James Taylor? Enter today and you could both be heading to Chicago: http:// ofa.bo/jA0f|You've got a friend that wants to meet James Taylor? Enter today and you could both be heading to Chicago: http://  |5.7040000000000015|5.7040000000000015
589|Marriage equality. Obamacare. A global climate agreement. Push for more progress: http:// ofa.bo/d5qT pic.twitter.com/OFqJ3OUjoM|Marriage equality. Obamacare. A global climate agreement. Push for more progress: http://    |5.8149999999999995|5.8149999999999995
590|Get weekly updates on everything from the #SCOTUS nomination process to climate change: http:// ofa.bo/c5pE pic.twitter.com/Ms5hVDn8se|Get weekly updates on everything from the #SCOTUS nomination process to climate change: http://    |5.554|5.554
591|Calling all supporters the fundraising deadline is here. Do your part to chip in: http:// ofa.bo/hABU pic.twitter.com/md6ajk1oki|Calling all supporters the fundraising deadline is here. Do your part to chip in: http://    |5.148571428571429|5.246666666666666
592|Enjoy the tunes of James Taylor in Chicago this summer enter before tomorrow's deadline: http:// ofa.bo/c5pC pic.twitter.com/hhhBdEhfzq|Enjoy the tunes of James Taylor in Chicago this summer enter before tomorrow's deadline: http://    |5.474285714285714|5.617777777777778
593|Time's almost up. Pitch in before the deadline: http:// ofa.bo/iA4a pic.twitter.com/lKZxwjirge|Time's almost up. Pitch in before the deadline: http://    |5.07|5.07
594|Tell Senate leaders to do their jobs and give Judge Garland a fair hearing: http:// ofa.bo/hABK #DoYourJob pic.twitter.com/uequq6N7pl|Tell Senate leaders to do their jobs and give Judge Garland a fair hearing: http://   #DoYourJob  |5.7844444444444445|5.7844444444444445
595|Make a play before the big fundraising deadline tomorrow pitch in now: http:// ofa.bo/z0Nx pic.twitter.com/fDbZmlBGGz|Make a play before the big fundraising deadline tomorrow pitch in now: http://    |5.422857142857143|5.528888888888889
596|A free flight to Chicago. A free hotel room. Tickets to see the legendary James Taylor. Enter now: http:// ofa.bo/iA49|A free flight to Chicago. A free hotel room. Tickets to see the legendary James Taylor. Enter now: http://  |6.142500000000002|6.142500000000002
597|Start your engines the big fundraising deadline is coming up. Chip in: http:// ofa.bo/c5oq pic.twitter.com/v7tSjLAct9|Start your engines the big fundraising deadline is coming up. Chip in: http://    |5.3|5.246666666666667
598|Ever met a music legend? Here's your chance meet James Taylor in Chicago this summer: http:// ofa.bo/z0Nc pic.twitter.com/Q0EyXlAXA4|Ever met a music legend? Here's your chance meet James Taylor in Chicago this summer: http://    |5.873333333333334|6.0075
599|Judge Merrick Garland deserves fair consideration from the Senate: http:// ofa.bo/xMg #DoYourJob pic.twitter.com/IljdAUY3qB|Judge Merrick Garland deserves fair consideration from the Senate: http://   #DoYourJob  |5.824|5.824
600|Read President Obama's op-ed on why Judge Merrick Garland deserves a Senate hearing: http:// ofa.bo/b5tz #DoYourJob|Read President Obama's op-ed on why Judge Merrick Garland deserves a Senate hearing: http://   #DoYourJob|5.324|5.324
601|Judge Garland deserves a fair hearing. pic.twitter.com/SZPqoMUI5t|Judge Garland deserves a fair hearing.  |6.026666666666667|6.026666666666667
